Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jeff Janis\JaniJe00,WR,Saginaw Valley State,,6-3,219,4.42,37.5,20,123,6.64,3.98,Green Bay Packers / 7th / 236th pick / 2014
Stanley Jean-Baptiste\JeanSt00,CB,Nebraska,College Stats,6-3,218,4.61,41.5,13,128,,4.33,New Orleans Saints / 2nd / 58th pick / 2014
Jackson Jeffcoat\JeffJa00,DE,Texas,College Stats,6-3,247,4.63,36.0,18,123,6.97,4.18,
Marcel Jensen\JensMa01,TE,Fresno State,College Stats,6-6,259,4.85,35.0,24,115,7.38,4.60,
Timmy Jernigan\JernTi00,DT,Florida State,College Stats,6-2,299,5.06,29.5,27,102,,4.83,Baltimore Ravens / 2nd / 48th pick / 2014
Wesley Johnson\JohnWe00,C,Vanderbilt,College Stats,6-5,297,5.11,29.0,26,111,7.40,4.64,Pittsburgh Steelers / 5th / 173rd pick / 2014
Storm Johnson\JohnSt03,RB,Central Florida,College Stats,6-0,209,4.60,35.5,16,118,,,Jacksonville Jaguars / 7th / 222nd pick / 2014
Dontae Johnson\JohnDo02,CB,North Carolina State,College Stats,6-2,200,4.41,38.5,12,124,6.82,4.24,San Francisco 49ers / 4th / 129th pick / 2014
Anthony Johnson\JohnAn04,DT,LSU,College Stats,6-2,308,5.24,24.5,20,102,7.93,4.83,
T.J. Jones\JoneTJ00,WR,Notre Dame,College Stats,6-0,188,4.46,33.0,,119,6.82,4.27,
Howard Jones\JoneHo01,OLB,Shepherd,,6-2,235,4.60,40.5,21,124,7.16,4.41,
DaQuan Jones\JoneDa04,DT,Penn State,College Stats,6-4,322,5.35,27.5,25,101,7.73,4.78,Tennessee Titans / 4th / 112th pick / 2014
Christian Jones\JoneCh05,OLB,Florida State,College Stats,6-3,240,4.68,33.5,,115,,,
Reggie Jordan\JordRe00,FB,Missouri Western State,,6-3,240,4.77,30.0,24,116,7.22,4.30,
Henry Josey\JoseHe00,RB,Missouri,College Stats,5-8,194,4.43,34.5,20,118,7.07,4.13,
Lamarcus Joyner\JoynLa00,CB,Florida State,College Stats,5-8,184,4.55,37.5,14,124,7.26,4.40,St. Louis Rams / 2nd / 41st pick / 2014
Odell Beckham Jr.\BeckOd00,WR,LSU,College Stats,5-11,198,4.38,38.5,7,122,6.69,3.94,New York Giants / 1st / 12th pick / 2014
James Wilder Jr.\WildJa01,RB,Florida State,College Stats,6-3,232,4.65,35.0,18,121,6.92,4.24,
Devon Kennard\KennDe00,OLB,USC,College Stats,6-3,249,4.70,30.0,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
Zach Kerr\KerrZa00,DT,Tennessee,,6-1,326,5.06,28.5,28,99,7.93,4.71,
Christian Kirksey\KirkCh00,OLB,Iowa,College Stats,6-2,233,4.72,32.0,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
Cyrus Kouandjio\KouaCy00,OT,Alabama,College Stats,6-7,322,5.59,27.5,21,96,7.71,4.84,Buffalo Bills / 2nd / 44th pick / 2014
Kenny Ladler\LadlKe00,FS,Vanderbilt,College Stats,6-0,207,4.70,36.5,24,127,,,
Jarvis Landry\LandJa00,WR,LSU,College Stats,5-11,205,4.65,28.5,12,110,,,Miami Dolphins / 2nd / 63rd pick / 2014
Tyler Larsen,C,Utah State,,6-4,313,5.17,23.5,36,102,8.22,4.70,
Cody Latimer\LatiCo00,WR,Indiana,College Stats,6-2,215,4.52,,23,,,,Denver Broncos / 2nd / 56th pick / 2014
Demarcus Lawrence\LawrDe00,DE,Boise State,College Stats,6-3,251,4.80,34.5,20,113,7.46,4.31,Dallas Cowboys / 2nd / 34th pick / 2014
Nevin Lawson\LawsNe00,CB,Utah State,College Stats,5-9,190,4.48,33.0,16,120,7.12,4.40,Detroit Lions / 4th / 133rd pick / 2014
Marqise Lee\LeexMa00,WR,USC,College Stats,6-0,192,4.52,38.0,,127,,4.01,Jacksonville Jaguars / 2nd / 39th pick / 2014
Charles Leno\LenoCh00,OG,Boise State,College Stats,6-4,303,5.25,29.0,21,108,7.57,4.40,Chicago Bears / 7th / 246th pick / 2014
A.C. Leonard,TE,Tennessee State,,6-2,252,4.50,34.0,20,128,,,
Richie Leone\LeonRi01,P,Houston,College Stats,6-3,211,5.10,,,,,,
Taylor Lewan\LewaTa00,OT,Michigan,College Stats,6-7,309,4.87,30.5,29,117,7.39,4.49,Tennessee Titans / 1st / 11th pick / 2014
Isaiah Lewis\LewiIs00,SS,Michigan State,College Stats,5-10,211,4.60,36.5,15,122,7.05,4.47,
Brandon Linder\LindBr00,OG,Miami (FL),College Stats,6-6,311,5.35,26.5,30,100,,,Jacksonville Jaguars / 3rd / 93rd pick / 2014
Corey Linsley\LinsCo00,C,Ohio State,College Stats,6-3,296,5.24,27.0,36,,,,Green Bay Packers / 5th / 161st pick / 2014
Boseko Lokombo\LokoBo01,OLB,Oregon,College Stats,6-2,225,4.66,,,122,7.15,4.30,
Spencer Long\LongSp00,OG,Nebraska,College Stats,6-5,320,5.16,,,,,,Washington Redskins / 3rd / 78th pick / 2014
Craig Loston\LostCr00,SS,LSU,College Stats,6-1,217,4.65,32.5,12,119,7.15,4.35,
Marcus Lucas\LucaMa01,WR,Missouri,College Stats,6-4,218,4.60,36.0,20,124,7.07,4.25,
Cornelius Lucas\LucaCo01,OT,Kansas State,,6-8,316,5.29,,,,,,
Colt Lyerla\LyerCo00,TE,Oregon,College Stats,6-4,242,4.61,39.0,15,128,,,
Jordan Lynch\LyncJo01,QB,Northern Illinois,College Stats,6-0,217,4.76,29.5,,109,6.55,4.20,
Arthur Lynch\LyncAr00,TE,Georgia,College Stats,6-5,258,4.82,29.5,28,116,7.38,4.35,Miami Dolphins / 5th / 155th pick / 2014
Aaron Lynch\LyncAa00,DE,South Florida,College Stats,6-5,249,4.76,,18,,,,San Francisco 49ers / 5th / 150th pick / 2014
Khalil Mack\MackKh00,OLB,Buffalo,College Stats,6-3,251,4.65,40.0,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
Cody Mandell\MandCo01,P,Alabama,College Stats,6-2,216,4.89,27.0,,109,,,
Eathyn Manumaleuna\ManuEa00,DT,BYU,College Stats,6-2,296,5.16,28.0,29,101,7.78,4.61,
Johnny Manziel\ManzJo00,QB,Texas A&M,College Stats,6-0,207,4.68,31.5,,113,6.75,4.03,Cleveland Browns / 1st / 22nd pick / 2014
Cassius Marsh\MarsCa00,DE,UCLA,College Stats,6-4,252,4.89,32.0,14,108,7.08,4.25,Seattle Seahawks / 4th / 108th pick / 2014
Zack Martin\MartZa00,OG,Notre Dame,College Stats,6-4,308,5.22,28.0,29,106,7.65,4.59,Dallas Cowboys / 1st / 16th pick / 2014
Marcus Martin\MartMa01,C,USC,College Stats,6-3,320,5.38,,23,,,,San Francisco 49ers / 3rd / 70th pick / 2014
Kareem Martin\MartKa00,DE,North Carolina,College Stats,6-6,272,4.72,35.5,22,129,7.20,4.33,Arizona Cardinals / 3rd / 84th pick / 2014
Tre Mason\MasoTr00,RB,Auburn,College Stats,5-8,207,4.50,38.5,,126,,4.15,St. Louis Rams / 3rd / 75th pick / 2014
Jeff Mathews,QB,Cornell,,6-4,223,5.26,25.5,,105,7.14,4.36,
Jordan Matthews\MattJo00,WR,Vanderbilt,College Stats,6-3,212,4.46,35.5,21,120,6.95,4.18,Philadelphia Eagles / 2nd / 42nd pick / 2014
Jake Matthews\MattJa00,OT,Texas A&M,College Stats,6-5,308,5.07,30.5,24,105,7.34,4.47,Atlanta Falcons / 1st / 6th pick / 2014
